Failure Type,F_resultant,T_resultant
normal,62.54773289335862,2.9846904824231073
normal,62.1882711816955,4.495996449138654
normal,61.161357081271184,5.13061500485031
normal,62.24063022452695,6.954295839550542
normal,60.63505692114133,7.824947018309321
normal,59.40431954178518,10.81054896641414
normal,58.827717778776936,8.048276836403685
normal,59.16211536883654,10.226311439617154
normal,58.713946175788486,11.948278356721692
normal,63.081464712484255,2.6947873116945913
normal,62.601876275988765,4.58881870324679
normal,61.588017320838404,5.178109667944619
normal,61.49257977201837,7.185090592943416
normal,60.17132745015214,6.53776896706376
normal,61.982509903109076,9.181008857142112
normal,58.57229411493915,10.647276640718871
normal,58.16056312681335,9.621795465189198
normal,58.237750696111,12.047815492577326
collision,66.60468836842878,33.51715209363944
collision,73.51634167502026,36.818583753046
collision,71.75085934894665,39.24498435183787
collision,67.96637693067707,40.072397660205034
collision,66.15116099833784,26.576830333463597
collision,81.2587113704308,44.72736520734722
collision,62.166019507852745,27.42906657086244
collision,66.95412847666408,24.49277438823243
collision,58.75271428191329,13.721607732626893
collision,67.48823547908323,29.562754327733952
collision,60.03732816211879,18.777451402084044
collision,58.4784490307841,9.90290740582609
collision,54.67835920997281,10.29020410832974
collision,60.43819907594416,10.320795360151585
collision,62.64277392827246,23.93167894077546
collision,69.15493120125133,85.0186471531045
collision,70.19128294384066,36.19505118859422
obstruction,153.87869036222625,91.69561199012742
obstruction,281.5429305745107,199.21715844546756
obstruction,242.01392878836728,46.71092114837521
obstruction,170.55535259519044,25.551739513807814
obstruction,215.29466255367893,75.68282439222563
normal,60.3600398128533,12.798301504266794
obstruction,201.02302608751768,33.2513094767226
normal,62.281088483835546,10.611698698932871
obstruction,210.9947112887429,40.252057739060156
obstruction,210.99697916551594,121.8164733480548
obstruction,255.42012860632718,170.8903991186542
obstruction,708.8681749630038,424.16445890411865
obstruction,668.3397727941721,463.78728246038844
obstruction,707.7612774226524,489.7515176513041
obstruction,190.15910790578067,42.042450027961294
obstruction,222.55297665969368,122.25389830030291
obstruction,386.2132535081772,263.4949268222571
fr_collision,239.54688564723773,208.60697839153636
obstruction,890.9867858377431,392.7098401578906
fr_collision,26.37929826299961,34.504370650735076
fr_collision,23.8303204311807,41.94124059475357
fr_collision,91.0898027493213,54.045800391544894
obstruction,742.4466206098185,118.85168528911115
fr_collision,45.98611670377732,45.34524254549921
obstruction,257.978102495833,173.6595163807999
obstruction,815.2678664744104,276.8534095224675
obstruction,1313.7304305668736,310.68773611455
fr_collision,31.724684044620354,31.447494633295847
obstruction,312.4287405417324,219.53079574681271
obstruction,683.5256622355552,352.8671762804395
obstruction,198.0904519224033,56.791287063094394
obstruction,390.01274834171403,76.76660637701907
normal,54.67390058947895,15.934666571979466
fr_collision,32.968626945031716,70.03858213720763
fr_collision,52.353451850848806,164.4348054384692
obstruction,678.2869568746513,674.9650537711125
fr_collision,31.576697408624064,33.36198104492577
obstruction,88.95083841256032,130.48848660774973
obstruction,360.27917594044476,419.0366502473641
fr_collision,21.111969468786842,22.408543387428463
obstruction,96.08956830902305,163.0330280987219
fr_collision,22.31590837243599,8.27823117152653
obstruction,284.03293762793123,149.7859976132361
obstruction,447.57684689678933,270.89561255462223
fr_collision,26.96067525746207,11.714913254049776
obstruction,164.14861748704257,95.40587928865308
fr_collision,34.91582423926195,28.267548084474075
fr_collision,77.44568015881097,107.50673341190333
obstruction,716.6488076453606,354.6435501719138
fr_collision,33.82078739496978,34.6818964438065
obstruction,165.94758097010353,100.58630762225381
obstruction,999.4341017411333,416.93528419269063
fr_collision,41.54950611790972,30.658340173760507
