Failure Type,F_resultant,T_resultant
normal,79.56770459159432,4.312333624070749
normal,80.31441317686429,15.53955718594901
normal,78.83693935595693,16.67834886811611
normal,81.32572334862786,18.469327370409566
normal,78.93479142267874,20.41752206516215
normal,78.94360362119811,22.730029293747517
normal,79.27362733311647,25.95970396289368
normal,78.63011755596537,30.363088499722963
normal,79.46478598166274,31.829153210112793
normal,80.42956081985251,33.69739917728896
normal,81.19566110323541,35.387383384741746
normal,80.53382850155451,11.641274746469533
normal,78.47280577005183,15.807236575109204
normal,80.13630684208007,19.412707705779567
normal,78.76366498955302,22.87519589137494
normal,78.66480486967161,20.976784023976588
normal,79.20390115021377,27.512933869042676
normal,79.47620303526513,31.048881617241715
normal,79.51584585169122,33.159766901405916
normal,79.41061371187108,33.0424447571548
back_col,106.69792545879581,87.81858538846726
front_col,104.53141444263595,85.4157791294304
right_col,93.64944986221239,54.6680628890412
left_col,93.66569505743045,64.0164122445385
left_col,89.91146805145519,45.210190514360654
left_col,83.62261442495279,32.390240965824525
right_col,82.90406735000616,39.06584672819721
left_col,82.39393750092354,35.564391452008344
left_col,84.16106615817115,34.722612451550184
left_col,82.80309213228303,24.887985556395858
left_col,85.03719033802344,36.0135569126361
left_col,86.4640222149182,36.86289122942808
left_col,86.4640222149182,36.86289122942808
right_col,100.10027704337595,95.22007726845601
right_col,100.10027704337595,95.22007726845601
front_col,76.33053789608825,48.45266553281238
back_col,84.89256435623915,29.447560708520975
right_col,85.25507863879892,41.415621347065816
front_col,86.24790888678307,39.79713314780382
front_col,92.65659582789317,44.887435052683415
back_col,110.98988137014248,78.5372274939396
back_col,88.25677541557586,63.60720612099404
front_col,83.27969109326806,22.16388028449109
front_col,89.34500119168231,55.49048248231474
back_col,82.98076175489273,22.72456759834318
back_col,82.98076175489273,22.72456759834318
back_col,87.95946601859174,53.76454109781273
