Part Position After Failure,F_resultant,T_resultant
ok,79.56770459159432,4.312333624070749
ok,80.31441317686429,15.53955718594901
ok,78.83693935595693,16.67834886811611
ok,81.32572334862786,18.469327370409566
ok,78.93479142267874,20.41752206516215
ok,78.94360362119811,22.730029293747517
ok,79.27362733311647,25.95970396289368
ok,78.63011755596537,30.363088499722963
ok,79.46478598166274,31.829153210112793
ok,80.42956081985251,33.69739917728896
ok,81.19566110323541,35.387383384741746
ok,80.53382850155451,11.641274746469533
ok,78.47280577005183,15.807236575109204
ok,80.13630684208007,19.412707705779567
ok,78.76366498955302,22.87519589137494
ok,78.66480486967161,20.976784023976588
ok,79.20390115021377,27.512933869042676
ok,79.47620303526513,31.048881617241715
ok,79.51584585169122,33.159766901405916
ok,79.41061371187108,33.0424447571548
moved,106.69792545879581,87.81858538846726
moved,104.53141444263595,85.4157791294304
slightly_moved,93.64944986221239,54.6680628890412
moved,93.66569505743045,64.0164122445385
slightly_moved,89.91146805145519,45.210190514360654
slightly_moved,83.62261442495279,32.390240965824525
slightly_moved,82.90406735000616,39.06584672819721
slightly_moved,82.39393750092354,35.564391452008344
slightly_moved,84.16106615817115,34.722612451550184
moved,82.80309213228303,24.887985556395858
slightly_moved,85.03719033802344,36.0135569126361
moved,86.4640222149182,36.86289122942808
moved,86.4640222149182,36.86289122942808
moved,100.10027704337595,95.22007726845601
moved,100.10027704337595,95.22007726845601
lost,76.33053789608825,48.45266553281238
moved,84.89256435623915,29.447560708520975
moved,85.25507863879892,41.415621347065816
moved,86.24790888678307,39.79713314780382
moved,92.65659582789317,44.887435052683415
moved,110.98988137014248,78.5372274939396
lost,88.25677541557586,63.60720612099404
moved,83.27969109326806,22.16388028449109
lost,89.34500119168231,55.49048248231474
slightly_moved,82.98076175489273,22.72456759834318
slightly_moved,82.98076175489273,22.72456759834318
moved,87.95946601859174,53.76454109781273
